mexc_symbol,base,contractSize,maxLeverage,last,timeframe,rating,tv_source,tv_buy,tv_sell,tv_neutral
SHIB_USDC,SHIB,100000.0,125,4.987e-06,4h,BUY,MEXC:SHIBUSDC.P,15.0,2.0,9.0
SEI_USDC,SEI,10.0,125,0.04417,4h,BUY,MEXC:SEIUSDC.P,15.0,3.0,8.0
WLFI_USDC,WLFI,10.0,125,0.0612,4h,BUY,MEXC:WLFIUSDC.P,15.0,2.0,9.0
GRAM_USDC,GRAM,1.0,20,1.42,4h,BUY,MEXC:GRAMUSDC.P,15.0,2.0,9.0
ETH_USDC,ETH,0.01,200,2351.84,4h,BUY,MEXC:ETHUSDC.P,14.0,2.0,10.0
XRP_USDC,XRP,1.0,125,1.3093,4h,BUY,MEXC:XRPUSDC.P,14.0,3.0,9.0
HYPE_USDC,HYPE,0.1,125,72.811,4h,BUY,MEXC:HYPEUSDC.P,14.0,2.0,10.0
XAU_USDC,XAU,0.001,100,4541.43,4h,BUY,MEXC:XAUUSDC.P,14.0,3.0,9.0
DOGE_USDC,DOGE,10.0,125,0.08198,4h,BUY,MEXC:DOGEUSDC.P,14.0,3.0,9.0
FARTCOIN_USDC,FARTCOIN,1.0,125,0.1698,4h,BUY,MEXC:FARTCOINUSDC.P,14.0,4.0,8.0
ADA_USDC,ADA,1.0,125,0.2074,4h,BUY,MEXC:ADAUSDC.P,14.0,5.0,7.0
PEPE_USDC,PEPE,10000000.0,125,3.281e-06,4h,BUY,MEXC:PEPEUSDC.P,14.0,3.0,9.0
SILVER_USDC,SILVER,0.01,200,69.1,4h,BUY,MEXC:SILVERUSDC.P,14.0,4.0,8.0
BOME_USDC,BOME,1000.0,125,0.0011805,4h,BUY,MEXC:BOMEUSDC.P,14.0,2.0,10.0
WLD_USDC,WLD,1.0,125,0.3709,4h,BUY,MEXC:WLDUSDC.P,14.0,3.0,9.0
XLM_USDC,XLM,10.0,125,0.18523,4h,BUY,MEXC:XLMUSDC.P,14.0,3.0,9.0
ONDO_USDC,ONDO,1.0,125,0.365,4h,BUY,MEXC:ONDOUSDC.P,14.0,3.0,9.0
AVAX_USDC,AVAX,0.1,125,7.295,4h,BUY,MEXC:AVAXUSDC.P,14.0,6.0,6.0
TIA_USDC,TIA,1.0,125,0.3459,4h,BUY,MEXC:TIAUSDC.P,14.0,3.0,9.0
XAUT_USDC,XAUT,0.001,200,4517.4,4h,BUY,MEXC:XAUTUSDC.P,14.0,2.0,10.0
DOT_USDC,DOT,1.0,125,0.845,4h,BUY,MEXC:DOTUSDC.P,14.0,6.0,6.0
ARB_USDC,ARB,1.0,125,0.09095,4h,BUY,MEXC:ARBUSDC.P,14.0,2.0,10.0
WIF_USDC,WIF,10.0,125,0.166,4h,BUY,MEXC:WIFUSDC.P,14.0,3.0,9.0
PENGU_USDC,PENGU,10.0,125,0.007391,4h,BUY,MEXC:PENGUUSDC.P,14.0,3.0,9.0
OP_USDC,OP,1.0,125,0.0974,4h,BUY,MEXC:OPUSDC.P,14.0,3.0,9.0
BCH_USDC,BCH,0.01,125,228.31,4h,BUY,MEXC:BCHUSDC.P,14.0,3.0,9.0
VIRTUAL_USDC,VIRTUAL,1.0,125,0.65,4h,BUY,MEXC:VIRTUALUSDC.P,14.0,3.0,9.0
PENDLE_USDC,PENDLE,1.0,125,1.5448,4h,BUY,MEXC:PENDLEUSDC.P,14.0,5.0,7.0
FIL_USDC,FIL,1.0,50,0.7497,4h,BUY,MEXC:FILUSDC.P,14.0,3.0,9.0
ORDI_USDC,ORDI,0.1,125,4.226,4h,BUY,MEXC:ORDIUSDC.P,14.0,5.0,7.0
ETHFI_USDC,ETHFI,1.0,50,0.5453,4h,BUY,MEXC:ETHFIUSDC.P,14.0,2.0,10.0
APT_USDC,APT,0.1,125,0.5812,4h,BUY,MEXC:APTUSDC.P,14.0,3.0,9.0
INJ_USDC,INJ,0.1,50,4.773,4h,BUY,MEXC:INJUSDC.P,14.0,2.0,10.0
PNUT_USDC,PNUT,10.0,125,0.05204,4h,BUY,MEXC:PNUTUSDC.P,14.0,4.0,8.0
ETC_USDC,ETC,0.1,125,7.052,4h,BUY,MEXC:ETCUSDC.P,14.0,3.0,9.0
STRK_USDC,STRK,10.0,125,0.0258,4h,BUY,MEXC:STRKUSDC.P,13.0,4.0,9.0
1000BONK_USDC,1000BONK,100.0,125,0.00264,4h,BUY,MEXC:1000BONKUSDC.P,12.0,5.0,9.0
SOXL_USDC,SOXL,0.01,50,124.11,4h,SELL,MEXC:SOXLUSDC.P,5.0,11.0,10.0
H_USDC,H,10.0,20,0.07562,4h,STRONG_SELL,MEXC:HUSDC.P,0.0,17.0,9.0
SNDKSTOCK_USDC,SNDKSTOCK,0.001,20,1599.56,4h,,,,,
PUMPFUN_USDC,PUMPFUN,1000.0,125,0.003916,4h,,,,,
SPCXSTOCK_USDC,SPCXSTOCK,0.01,20,134.18,4h,,,,,
SPX500_USDC,SPX500,0.0001,50,7652.7,4h,,,,,
MUSTOCK_USDC,MUSTOCK,0.01,20,977.42,4h,,,,,
TRX_USDC,TRX,10.0,125,0.3375,4h,,,,,
EIGEN_USDC,EIGEN,1.0,125,0.2019,4h,,,,,
MOODENG_USDC,MOODENG,10.0,50,0.04353,4h,,,,,
ICNT_USDC,ICNT,10.0,50,0.1201,4h,,,,,
NEO_USDC,NEO,0.1,50,2.022,4h,,,,,
KAITO_USDC,KAITO,1.0,50,0.3448,4h,,,,,
POPCAT_USDC,POPCAT,10.0,125,0.0471,4h,,,,,
AEVO_USDC,AEVO,10.0,125,0.02313,4h,,,,,
SKHYNIXSTOCK_USDC,SKHYNIXSTOCK,0.001,20,1256.07,4h,,,,,
MNT_USDC,MNT,1.0,125,0.5125,4h,,,,,
PAXG_USDC,PAXG,0.001,100,4522.59,4h,,,,,
NEIROCTO_USDC,NEIROCTO,10000.0,125,9.019e-05,4h,,,,,
RESOLV_USDC,RESOLV,10.0,50,0.01841,4h,,,,,
SAHARA_USDC,SAHARA,10.0,50,0.00802,4h,,,,,
NOT_USDC,NOT,1000.0,125,0.0004168,4h,,,,,
